name,actual,values,predicted
NE Women's Leggings,clothing,"[0.8333333333333334, 0.25, 0.5, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5, 0.5, 0.25, 0.4166666666666667, 0.4166666666666667, 0.8333333333333334, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.75, 0.5, 0.08333333333333333, 0.4166666666666667, 0.08333333333333333, 0.08333333333333333, 0.0, 0.16666666666666666, 0.08333333333333333, 0.25, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0]",clothing
Anti Gravity Black 05102 Rucksack  - 60 L,bags wallets  belts,"[0.72, 0.504, 0.576, 0.288, 0.552, 0.656, 0.536, 0.624, 0.544, 0.656, 0.44, 0.512, 0.528, 0.584, 0.056, 0.424, 0.52, 0.56, 0.576, 0.32, 0.632, 0.288, 0.32, 0.24, 0.344, 0.0, 0.216, 0.288, 0.128, 0.272, 0.128, 0.08]",clothing
DECOREX 18W LED Surface Light (Light Colour : Cool White) Night Lamp,home decor  festive needs,"[0.8846153846153846, 0.6923076923076923, 0.7692307692307693, 0.6538461538461539, 0.8846153846153846, 0.8461538461538461, 0.9230769230769231, 0.7307692307692307, 1.0, 0.9230769230769231, 0.7307692307692307, 0.7307692307692307, 0.8846153846153846, 0.8846153846153846, 0.15384615384615385, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.9615384615384616, 0.7692307692307693, 0.9230769230769231, 0.7307692307692307, 0.7692307692307693, 0.5769230769230769, 0.6923076923076923, 0.0, 0.46153846153846156, 0.7307692307692307, 0.2692307692307692, 0.5384615384615384, 0.11538461538461539, 0.3076923076923077]",home decor  festive needs
RYTHMX FB NAIL POLISHES BLACK LIPSTICKS IMPORTANT COMBO 60,beauty and personal care,"[0.7727272727272727, 0.5227272727272727, 0.5909090909090909, 0.2727272727272727, 0.6136363636363636, 0.5454545454545454, 1.0, 0.6590909090909091, 0.75, 0.5909090909090909, 0.5227272727272727, 0.5909090909090909, 0.5909090909090909, 0.6363636363636364, 0.06818181818181818, 0.4318181818181818, 0.5, 0.6818181818181818, 0.5909090909090909, 0.36363636363636365, 0.5227272727272727, 0.29545454545454547, 0.45454545454545453, 0.29545454545454547, 0.38636363636363635, 0.022727272727272728, 0.2727272727272727, 0.3181818181818182, 0.13636363636363635, 0.2727272727272727, 0.1590909090909091, 0.11363636363636363]",beauty and personal care
Galz4ever Golden Curve Designer Alloy Necklace,jewellery,"[1.0, 0.4, 0.4, 0.0, 0.4, 0.0, 0.8, 0.2, 0.6, 0.8, 0.2, 0.4, 0.2, 0.4, 0.0, 0.8, 0.4, 1.0, 0.6, 0.0, 0.6, 0.0, 0.0, 0.0, 0.4, 0.0, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0]",clothing
Exotic India Bhagwan Vishnu Showpiece  -  22.86 cm,home decor  festive needs,"[0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.6, 0.4, 0.6, 0.4, 0.4, 0.4, 0.4, 0.4, 0.0, 0.4, 0.4, 0.6, 0.4, 0.4, 0.4, 0.4, 0.2, 0.2, 0.4, 0.4, 0.2, 0.4, 0.0, 0.0, 0.4, 0.2]",beauty and personal care
Mydress Mystyle Bulb Led USB Led Light,computers,"[0.5, 0.2916666666666667, 0.3958333333333333, 0.22916666666666666, 0.5833333333333334, 0.375, 0.4583333333333333, 0.3958333333333333, 0.625, 0.7708333333333334, 0.4583333333333333, 0.3125, 0.3125, 0.7083333333333334, 0.020833333333333332, 0.3333333333333333, 0.375, 0.4166666666666667, 0.5208333333333334, 0.4375, 1.0, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3125, 0.020833333333333332, 0.14583333333333334, 0.4166666666666667, 0.0625, 0.08333333333333333, 0.14583333333333334, 0.08333333333333333]",computers
Numero Uno Solid Men's Polo Neck T-Shirt,clothing,"[1.0, 0.26666666666666666, 0.4666666666666667, 0.26666666666666666, 0.3333333333333333, 0.4, 0.7333333333333333, 0.5333333333333333, 0.4666666666666667, 0.4666666666666667, 0.4, 0.4, 0.8666666666666667, 0.4, 0.0, 0.4, 0.4, 0.8, 0.4666666666666667, 0.13333333333333333, 0.5333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.2, 0.06666666666666667, 0.26666666666666666, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.0]",clothing
"Layer'r Shot Compact Impact ,Explode And Turbo Body Spray (Pack Of 3) Combo Set",beauty and personal care,"[0.5833333333333334, 0.4166666666666667, 0.3333333333333333, 0.25, 0.5833333333333334, 0.6666666666666666, 1.0, 0.5, 0.5833333333333334, 0.75, 0.6666666666666666, 0.4166666666666667, 0.4166666666666667, 0.5, 0.0, 0.4166666666666667, 0.5, 0.5, 0.5833333333333334, 0.4166666666666667, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.5, 0.08333333333333333, 0.08333333333333333, 0.25, 0.0, 0.08333333333333333, 0.3333333333333333, 0.16666666666666666]",beauty and personal care
Steppings Trendy Boots,footwear,"[0.6666666666666666, 0.0, 1.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0]",footwear
Maxima 23952LMLI Swarovski Analog Watch  - For Women,watches,"[0.7777777777777778, 0.4444444444444444, 0.6666666666666666, 0.2222222222222222, 0.4444444444444444, 0.6111111111111112, 0.4444444444444444, 0.6111111111111112, 0.7222222222222222, 0.6111111111111112, 0.5, 0.4444444444444444, 0.5, 0.6111111111111112, 0.0, 1.0, 0.6111111111111112, 0.7222222222222222, 0.6111111111111112, 0.2777777777777778, 0.5555555555555556, 0.16666666666666666, 0.05555555555555555, 0.05555555555555555, 0.3333333333333333, 0.05555555555555555, 0.2777777777777778, 0.2222222222222222, 0.16666666666666666, 0.2777777777777778, 0.1111111111111111, 0.1111111111111111]",watches
Shoebook Men's Formal Shoes Lace Up,footwear,"[0.8, 0.2, 1.0, 0.0, 0.2, 0.4, 0.4, 0.6, 0.2, 0.2, 0.2, 0.4, 0.6, 0.2, 0.0, 0.4, 0.4, 0.6, 0.4, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.2, 0.2, 0.0, 0.0]",footwear
Valentine Women's Camisole,clothing,"[0.9166666666666666, 0.3333333333333333, 0.5, 0.3333333333333333, 0.4166666666666667, 0.3333333333333333, 0.6666666666666666, 0.5833333333333334, 0.6666666666666666, 0.25, 0.4166666666666667, 0.5, 0.8333333333333334, 0.5, 0.0, 0.4166666666666667, 0.5, 0.9166666666666666, 0.5833333333333334, 0.08333333333333333, 0.5833333333333334, 0.08333333333333333, 0.08333333333333333, 0.0, 0.16666666666666666, 0.08333333333333333, 0.4166666666666667, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0]",clothing
People 3/4 Sleeve Solid Women's Jacket,clothing,"[1.0, 0.6, 0.7333333333333333, 0.43333333333333335, 0.6666666666666666, 0.7, 0.7666666666666667, 0.8, 0.6333333333333333, 0.6333333333333333, 0.4666666666666667, 0.6, 0.8666666666666667, 0.7666666666666667, 0.13333333333333333, 0.5666666666666667, 0.6666666666666666, 0.9, 0.6, 0.3333333333333333, 0.6, 0.26666666666666666, 0.4, 0.26666666666666666, 0.3333333333333333, 0.0, 0.36666666666666664, 0.23333333333333334, 0.2, 0.3333333333333333, 0.1, 0.06666666666666667]",clothing
Numero Uno Solid Men's V-neck T-Shirt,clothing,"[1.0, 0.21428571428571427, 0.42857142857142855, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.5, 0.42857142857142855, 0.2857142857142857, 0.35714285714285715, 0.35714285714285715, 0.7857142857142857, 0.35714285714285715, 0.0, 0.35714285714285715, 0.35714285714285715, 0.7857142857142857, 0.42857142857142855, 0.07142857142857142, 0.42857142857142855, 0.07142857142857142, 0.07142857142857142, 0.0, 0.21428571428571427, 0.07142857142857142, 0.21428571428571427, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.0]",clothing
Prithish Pscychological Illusions Design 7 Ceramic Mug,kitchen  dining,"[0.375, 0.375, 0.375, 0.375, 0.5, 0.375, 0.375, 0.375, 0.5, 0.375, 0.5, 0.375, 0.625, 0.5, 0.0, 0.5, 0.625, 0.5, 1.0, 0.5, 0.375, 0.375, 0.375, 0.25, 0.375, 0.25, 0.25, 0.375, 0.0, 0.125, 0.375, 0.125]",kitchen  dining
S4S Stylish Women's Push-up Bra,clothing,"[1.0, 0.2727272727272727, 0.45454545454545453, 0.18181818181818182, 0.36363636363636365, 0.36363636363636365, 0.6363636363636364, 0.5454545454545454, 0.5454545454545454, 0.2727272727272727, 0.5454545454545454, 0.45454545454545453, 0.8181818181818182, 0.45454545454545453, 0.0, 0.36363636363636365, 0.45454545454545453, 0.8181818181818182, 0.5454545454545454, 0.09090909090909091, 0.45454545454545453, 0.09090909090909091, 0.09090909090909091, 0.0, 0.2727272727272727, 0.09090909090909091, 0.36363636363636365, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.0]",clothing
Karatcraft Perennial Love Yellow Gold Diamond 18 K Ring,jewellery,"[0.8333333333333334, 0.0, 0.6666666666666666, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.5, 0.8333333333333334, 0.5, 0.6666666666666666, 0.8333333333333334, 0.6666666666666666, 0.6666666666666666, 0.0, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.6666666666666666, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666, 0.3333333333333333, 0.0, 0.5, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0]",clothing
Rubera Alloy Yellow Gold Bangle Set,jewellery,"[0.8, 0.4, 0.6, 0.0, 0.6, 0.4, 1.0, 0.6, 0.8, 0.8, 0.6, 0.6, 0.6, 0.6, 0.0, 0.8, 0.8, 1.0, 0.8, 0.4, 0.6, 0.2, 0.0, 0.4, 0.4, 0.0, 0.4, 0.4, 0.0, 0.2, 0.2, 0.0]",beauty and personal care
BrandTrendz Bellies,footwear,"[0.9523809523809523, 0.5714285714285714, 1.0, 0.4523809523809524, 0.6666666666666666, 0.6666666666666666, 0.7857142857142857, 0.8095238095238095, 0.7857142857142857, 0.6904761904761905, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.7619047619047619, 0.11904761904761904, 0.5952380952380952, 0.6190476190476191, 0.7857142857142857, 0.8095238095238095, 0.4523809523809524, 0.6904761904761905, 0.38095238095238093, 0.5, 0.3333333333333333, 0.5714285714285714, 0.0, 0.4523809523809524, 0.42857142857142855, 0.23809523809523808, 0.42857142857142855, 0.16666666666666666, 0.14285714285714285]",footwear
FS Brass Brass Decorative Platter,home decor  festive needs,"[0.7916666666666666, 0.4166666666666667, 0.5833333333333334, 0.2916666666666667, 0.5833333333333334, 0.4166666666666667, 0.6666666666666666, 0.6666666666666666, 0.9166666666666666, 0.5416666666666666, 0.5833333333333334, 0.625, 0.625, 0.5, 0.041666666666666664, 0.5, 0.4583333333333333, 0.8333333333333334, 0.7916666666666666, 0.2916666666666667, 0.5833333333333334, 0.125, 0.25, 0.20833333333333334, 0.5, 0.0, 0.20833333333333334, 0.25, 0.041666666666666664, 0.16666666666666666, 0.16666666666666666, 0.08333333333333333]",home decor  festive needs
Buyer's Beach BB331,kitchen  dining,"[0.8166666666666667, 0.6, 0.6166666666666667, 0.5, 0.6666666666666666, 0.65, 0.65, 0.65, 0.7166666666666667, 0.7333333333333333, 0.6333333333333333, 0.7, 0.6833333333333333, 0.7166666666666667, 0.1, 0.5666666666666667, 0.5666666666666667, 0.6666666666666666, 0.8, 0.45, 0.7, 0.31666666666666665, 0.4, 0.3333333333333333, 0.5666666666666667, 0.0, 0.2833333333333333, 0.3333333333333333, 0.18333333333333332, 0.3333333333333333, 0.15, 0.15]",clothing
Lapguard HP Pavilion DV4129EA Compatible Black 6 Cell Laptop Battery,computers,"[0.3333333333333333, 0.5, 0.16666666666666666, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 0.8333333333333334, 0.6666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.8333333333333334, 0.0, 0.3333333333333333, 0.6666666666666666, 0.16666666666666666, 0.5, 0.3333333333333333, 1.0, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0]",computers
Fullcutdiamond FCDR7203R Yellow Gold Diamond 18K Yellow Gold 18 K Ring,jewellery,"[1.0, 0.0, 0.75, 0.25, 0.75, 0.75, 1.0, 0.75, 1.0, 0.5, 1.0, 1.0, 0.75, 0.75, 0.0, 1.0, 0.75, 1.0, 0.75, 0.25, 0.5, 0.25, 0.0, 0.25, 0.5, 0.0, 0.5, 0.25, 0.0, 0.25, 0.0, 0.0]",clothing
BMS Lifestyle Wallet Case Cover for Apple ipad Mini 3,mobiles  accessories,"[0.6666666666666666, 0.3333333333333333, 0.5, 0.0, 0.5, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.0, 0.6666666666666666, 0.5, 0.16666666666666666, 0.6666666666666666, 0.3333333333333333, 1.0, 0.3333333333333333, 0.16666666666666666, 0.5, 0.5, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0]",mobiles  accessories
Black Bee Men's Solid Casual Shirt,clothing,"[0.9655172413793104, 0.5517241379310345, 0.8620689655172413, 0.41379310344827586, 0.6551724137931034, 0.7241379310344828, 0.7586206896551724, 0.8275862068965517, 0.7241379310344828, 0.7241379310344828, 0.6206896551724138, 0.6206896551724138, 0.9310344827586207, 0.7931034482758621, 0.13793103448275862, 0.6206896551724138, 0.7241379310344828, 0.8275862068965517, 0.7586206896551724, 0.3793103448275862, 0.6551724137931034, 0.3448275862068966, 0.5517241379310345, 0.3448275862068966, 0.41379310344827586, 0.0, 0.4827586206896552, 0.3103448275862069, 0.2413793103448276, 0.3793103448275862, 0.1724137931034483, 0.20689655172413793]",clothing
"Indianbeauty Self Design, Printed Fashion Georgette Sari",clothing,"[0.9887640449438202, 0.4606741573033708, 0.6292134831460674, 0.2247191011235955, 0.48314606741573035, 0.39325842696629215, 0.5730337078651685, 0.6292134831460674, 0.651685393258427, 0.48314606741573035, 0.39325842696629215, 0.6067415730337079, 0.651685393258427, 0.5730337078651685, 0.056179775280898875, 0.43820224719101125, 0.43820224719101125, 0.6629213483146067, 0.5842696629213483, 0.2808988764044944, 0.47191011235955055, 0.16853932584269662, 0.2696629213483146, 0.1797752808988764, 0.3707865168539326, 0.011235955056179775, 0.29213483146067415, 0.25842696629213485, 0.11235955056179775, 0.21348314606741572, 0.14606741573033707, 0.06741573033707865]",clothing
Decore Sources Assorted Artificial Plant  with Pot,home decor  festive needs,"[0.85, 0.7, 0.55, 0.7, 0.8, 0.7, 0.9, 0.8, 1.0, 0.75, 0.85, 0.75, 0.8, 0.85, 0.25, 0.65, 0.8, 0.8, 0.8, 0.7, 0.75, 0.6, 0.65, 0.65, 0.7, 0.0, 0.5, 0.65, 0.4, 0.6, 0.05, 0.3]",home decor  festive needs
Centra Pro Women's Full Coverage Bra,clothing,"[0.9230769230769231, 0.23076923076923078, 0.46153846153846156, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.6153846153846154, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.3076923076923077, 0.6923076923076923, 0.5384615384615384, 0.0, 0.23076923076923078, 0.5384615384615384, 0.6153846153846154, 0.46153846153846156, 0.23076923076923078, 0.6153846153846154, 0.07692307692307693, 0.23076923076923078, 0.15384615384615385, 0.15384615384615385, 0.07692307692307693, 0.3076923076923077, 0.15384615384615385, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.0]",clothing
Kolkata Knight Riders Combo Set,beauty and personal care,"[0.6666666666666666, 0.3333333333333333, 0.5, 0.16666666666666666, 0.5, 0.5, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.0, 0.5, 0.6666666666666666, 0.5, 0.5, 0.3333333333333333, 0.6666666666666666, 0.5, 0.0, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.16666666666666666]",beauty and personal care
Natures Plus Home Garden Plant Container Set,tools  hardware,"[0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.8571428571428571, 0.5714285714285714, 1.0, 0.5714285714285714, 1.0, 0.5714285714285714, 1.0, 0.5714285714285714, 0.8571428571428571, 0.5714285714285714, 0.14285714285714285, 0.42857142857142855, 0.7142857142857143, 0.5714285714285714, 0.7142857142857143, 0.42857142857142855, 0.5714285714285714, 0.42857142857142855, 0.2857142857142857, 0.42857142857142855, 0.7142857142857143, 0.2857142857142857, 0.14285714285714285, 0.5714285714285714, 0.0, 0.0, 0.42857142857142855, 0.14285714285714285]",beauty and personal care
DailyObjects Back Cover for Apple iPad 2/3/4,mobiles  accessories,"[0.7575757575757576, 0.30303030303030304, 0.5454545454545454, 0.24242424242424243, 0.48484848484848486, 0.3939393939393939, 0.6363636363636364, 0.45454545454545453, 0.696969696969697, 0.5151515151515151, 0.36363636363636365, 0.6060606060606061, 0.5151515151515151, 1.0, 0.06060606060606061, 0.5454545454545454, 0.45454545454545453, 0.5151515151515151, 0.6060606060606061, 0.18181818181818182, 0.5757575757575758, 0.18181818181818182, 0.21212121212121213, 0.21212121212121213, 0.3939393939393939, 0.0, 0.18181818181818182, 0.18181818181818182, 0.030303030303030304, 0.15151515151515152, 0.15151515151515152, 0.06060606060606061]",mobiles  accessories
S4S Stylish Women's Push-up Bra,clothing,"[1.0, 0.25, 0.5, 0.16666666666666666, 0.4166666666666667, 0.4166666666666667, 0.6666666666666666, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5, 0.8333333333333334, 0.5, 0.0, 0.4166666666666667, 0.5, 0.8333333333333334, 0.5833333333333334, 0.16666666666666666, 0.5, 0.08333333333333333, 0.08333333333333333, 0.0, 0.25, 0.08333333333333333, 0.4166666666666667, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333, 0.0]",clothing
Radiant Bay Sublime Stunner White Gold Diamond 18 K Ring,jewellery,"[1.0, 0.16666666666666666, 0.5, 0.3333333333333333, 0.5, 0.5, 0.6666666666666666, 0.5, 0.6666666666666666, 0.5, 0.6666666666666666, 0.6666666666666666, 0.5, 0.5, 0.0, 0.6666666666666666, 0.5, 1.0, 0.5, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5, 0.0, 0.16666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0, 0.0]",clothing
Karatcraft Linius Yellow Gold Diamond 18 K Ring,jewellery,"[0.8, 0.0, 0.6, 0.2, 0.6, 0.6, 0.8, 0.6, 0.8, 0.4, 0.8, 0.8, 0.6, 0.6, 0.0, 0.8, 0.6, 0.8, 0.6, 0.2, 0.4, 0.2, 0.0, 0.2, 0.4, 0.0, 0.4, 0.2, 0.0, 0.2, 0.0, 0.0]",clothing
WallDesign Small Vinyl Sticker,baby care,"[0.8, 0.6, 0.8, 0.6, 0.8, 0.6, 0.6, 0.6, 1.0, 1.0, 0.6, 0.6, 1.0, 1.0, 0.0, 0.4, 1.0, 0.6, 1.0, 0.4, 0.8, 0.4, 0.2, 0.4, 0.6, 0.4, 0.2, 0.4, 0.0, 0.0, 0.4, 0.2]",home decor  festive needs
Valtellina Plain Single Top Sheet White,home furnishing,"[0.8, 0.8, 1.0, 0.6, 1.0, 1.0, 0.6, 1.0, 1.0, 0.8, 0.8, 1.0, 1.0, 0.6, 0.0, 0.6, 0.6, 0.8, 0.8, 0.6, 0.8, 0.2, 0.2, 0.4, 0.8, 0.0, 0.0, 0.6, 0.0, 0.2, 0.4, 0.2]",footwear
Goodwill Impex Solid Women's Tunic,clothing,"[1.0, 0.34375, 0.75, 0.1875, 0.53125, 0.53125, 0.625, 0.65625, 0.65625, 0.46875, 0.4375, 0.5625, 0.71875, 0.53125, 0.03125, 0.59375, 0.375, 0.78125, 0.65625, 0.0625, 0.4375, 0.03125, 0.25, 0.15625, 0.28125, 0.0, 0.3125, 0.125, 0.03125, 0.1875, 0.1875, 0.0625]",clothing
Greek Sojourn Brass Plated Acrylic Necklace,jewellery,"[0.75, 0.0, 0.0, 0.0, 0.5, 0.0, 0.25, 0.5, 0.75, 0.5, 0.25, 0.25, 0.5, 0.5, 0.0, 0.5, 0.25, 1.0, 0.5, 0.0, 0.25, 0.0, 0.0, 0.25, 0.25, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0]",jewellery
Voylla Alloy Jewel Set,jewellery,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.0, 0.6666666666666666, 0.3333333333333333, 1.0, 0.3333333333333333, 1.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0]",beauty and personal care
JDX Plain Bed/Sleeping Pillow,home furnishing,"[0.6451612903225806, 0.5161290322580645, 0.6129032258064516, 0.3225806451612903, 0.6129032258064516, 0.6451612903225806, 0.6129032258064516, 0.5806451612903226, 0.7419354838709677, 0.6774193548387096, 0.41935483870967744, 1.0, 0.6774193548387096, 0.4838709677419355, 0.0, 0.45161290322580644, 0.5806451612903226, 0.6451612903225806, 0.5806451612903226, 0.3870967741935484, 0.5161290322580645, 0.22580645161290322, 0.25806451612903225, 0.16129032258064516, 0.3548387096774194, 0.03225806451612903, 0.16129032258064516, 0.22580645161290322, 0.06451612903225806, 0.16129032258064516, 0.12903225806451613, 0.06451612903225806]",home furnishing
Allure Auto CM 1956 Car Mat Tata Bolt,automotive,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.6666666666666666, 0.5, 0.3333333333333333, 0.5, 1.0, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.3333333333333333, 0.5, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.16666666666666666, 0.5, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.16666666666666666]",automotive
"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",watches,"[0.8780487804878049, 0.4146341463414634, 0.6585365853658537, 0.24390243902439024, 0.6097560975609756, 0.5609756097560976, 0.5121951219512195, 0.5365853658536586, 0.7073170731707317, 0.5853658536585366, 0.4634146341463415, 0.5853658536585366, 0.5121951219512195, 0.6829268292682927, 0.024390243902439025, 0.4634146341463415, 0.5609756097560976, 0.7073170731707317, 0.6097560975609756, 0.21951219512195122, 0.5365853658536586, 0.2682926829268293, 0.24390243902439024, 0.2926829268292683, 0.36585365853658536, 0.0, 0.34146341463414637, 0.24390243902439024, 0.07317073170731707, 0.17073170731707318, 0.24390243902439024, 0.024390243902439025]",clothing
Karatcraft Sweet Flower Yellow Gold Diamond 18 K Ring,jewellery,"[1.0, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.8333333333333334, 0.5, 1.0, 0.6666666666666666, 1.0, 0.3333333333333333, 0.8333333333333334, 1.0, 0.6666666666666666, 0.6666666666666666, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0, 0.8333333333333334, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0, 0.16666666666666666, 0.5, 0.0, 0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0]",clothing
TeeMoods Casual Full Sleeve Striped Women's Top,clothing,"[1.0, 0.56, 0.64, 0.44, 0.52, 0.72, 0.72, 0.72, 0.56, 0.68, 0.44, 0.64, 0.88, 0.64, 0.04, 0.52, 0.52, 0.72, 0.6, 0.32, 0.6, 0.16, 0.36, 0.24, 0.32, 0.0, 0.32, 0.24, 0.08, 0.36, 0.16, 0.04]",clothing
Kuhuk Plastic Bangle Set,jewellery,"[0.8571428571428571, 0.5714285714285714, 0.7142857142857143, 0.42857142857142855, 0.7142857142857143, 0.7142857142857143, 1.0, 0.7142857142857143, 0.8571428571428571, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.0, 0.8571428571428571, 0.7142857142857143, 1.0, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.42857142857142855, 0.14285714285714285, 0.7142857142857143, 0.0, 0.14285714285714285, 0.5714285714285714, 0.0, 0.2857142857142857, 0.42857142857142855, 0.14285714285714285]",beauty and personal care
VR Designers Glass Necklace,jewellery,"[1.0, 0.5, 0.0, 0.0, 0.5, 0.5, 1.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 0.5, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5]",clothing
Prisha India Craft m_jug015-1-prishaindia Water Jug,kitchen  dining,"[0.5822784810126582, 0.4430379746835443, 0.4050632911392405, 0.34177215189873417, 0.5189873417721519, 0.4810126582278481, 0.5949367088607594, 0.4936708860759494, 0.6962025316455697, 0.5569620253164557, 0.5189873417721519, 0.46835443037974683, 0.4936708860759494, 0.569620253164557, 0.0759493670886076, 0.379746835443038, 0.4936708860759494, 0.5316455696202531, 0.6455696202531646, 0.34177215189873417, 0.5443037974683544, 0.3037974683544304, 0.3924050632911392, 0.2911392405063291, 0.4430379746835443, 0.012658227848101266, 0.189873417721519, 0.3037974683544304, 0.11392405063291139, 0.22784810126582278, 0.1518987341772152, 0.189873417721519]",home decor  festive needs
S4S Stylish Women's Push-up Bra,clothing,"[1.0, 0.38461538461538464, 0.46153846153846156, 0.23076923076923078, 0.38461538461538464, 0.38461538461538464, 0.6153846153846154, 0.5384615384615384, 0.5384615384615384, 0.3076923076923077, 0.5384615384615384, 0.46153846153846156, 0.7692307692307693, 0.46153846153846156, 0.0, 0.38461538461538464, 0.38461538461538464, 0.7692307692307693, 0.5384615384615384, 0.15384615384615385, 0.46153846153846156, 0.07692307692307693, 0.07692307692307693, 0.0, 0.23076923076923078, 0.07692307692307693, 0.38461538461538464, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.0]",clothing
